"filename", "language", "Java", "Java Properties", "XML", "Batch", "Log", "Markdown", "JSON", "comment", "blank", "total"
"/home/jos/Documentos/GitHub/Biblioteca_SG/Ejemplar/ejemplar/src/main/java/com/biblioteca/ejemplar/security/SecurityConfig.java", "Java", 42, 0, 0, 0, 0, 0, 0, 0, 8, 50
"/home/jos/Documentos/GitHub/Biblioteca_SG/Ejemplar/ejemplar/src/main/java/com/biblioteca/ejemplar/service/EjemplarService.java", "Java", 63, 0, 0, 0, 0, 0, 0, 0, 21, 84
"/home/jos/Documentos/GitHub/Biblioteca_SG/Ejemplar/ejemplar/src/main/resources/application.properties", "Java Properties", 0, 22, 0, 0, 0, 0, 0, 27, 15, 64
"/home/jos/Documentos/GitHub/Biblioteca_SG/Ejemplar/ejemplar/src/test/java/com/example/ejemplar/EjemplarApplicationTests.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/home/jos/Documentos/GitHub/Biblioteca_SG/Ejemplar/persona.log", "Log", 0, 0, 0, 0, 962, 0, 0, 0, 1, 963
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/.mvn/wrapper/maven-wrapper.properties", "Java Properties", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/mvnw.cmd", "Batch", 0, 0, 0, 139, 0, 0, 0, 26, 25, 190
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/pom.xml", "XML", 0, 0, 152, 0, 0, 0, 0, 0, 6, 158
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/GeneroApplication.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/client/LibroClient.java", "Java", 12, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/config/FeignConfig.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/controller/GeneroController.java", "Java", 91, 0, 0, 0, 0, 0, 0, 1, 16, 108
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/dto/GeneroDTO.java", "Java", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/dto/GeneroLibroDTO.java", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/dto/LibroDTO.java", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/exception/GlobalExceptionHandler.java", "Java", 24, 0, 0, 0, 0, 0, 0, 2, 5, 31
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/model/Genero.java", "Java", 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/repository/GeneroRepository.java", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 9, 19
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/security/SecurityConfig.java", "Java", 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"/home/jos/Documentos/GitHub/Biblioteca_SG/Genero/genero/src/main/java/com/biblioteca/genero/service/GeneroService.java", "Java", 52, 0, 0, 0, 0, 0, 0, 0, 16, 68
